,all_regions,seoul,young-deung-po-gu,seo-cho-gu,gang-nam-gu,song-pa-gu
2003-11,55.40806057,52.48932542,49.74269067,50.46890414,53.71839042,54.57446103
2003-12,55.09231793,52.09196415,49.49948351,49.6593317,52.99346245,53.76271522
2004-01,54.95952045,51.93649254,49.31918579,49.20902351,52.81744978,53.46180135
2004-02,55.14449533,52.24617569,49.31336487,49.69001292,53.74045254,54.4508823
2004-03,55.36429938,52.51925569,49.54690041,50.04169864,54.0932703,55.12528513
2004-04,55.5991799,52.86334663,49.86850392,50.05370629,54.54184421,56.36335523
2004-05,55.66468515,52.96705797,50.36400455,50.34599437,54.59030303,56.18529274
2004-06,55.60949869,52.86322313,50.53361943,50.22059254,54.2621323,55.92047872
2004-07,55.52650906,52.70969538,50.68426297,50.11278199,53.86225637,55.64533851
2004-08,55.35347398,52.39907866,50.60757977,49.75714546,53.20767191,54.75545675
2004-09,55.25860953,52.24354951,50.53599471,49.602595,52.85535725,54.33822654
2004-10,55.19609263,52.04540804,50.44047734,49.33705457,52.15689355,54.17859749
2004-11,54.98140529,51.80751586,50.29730898,49.122624,51.62007014,53.61603859
2004-12,54.75208044,51.59550639,50.09866177,48.9932577,51.38545381,53.40312003
2005-01,54.61745537,51.46325189,50.16823654,48.93375283,51.05266613,53.359961
2005-02,54.9055718,51.98639325,50.48640678,49.95866388,52.72796295,54.86608917
2005-03,55.22325594,52.23689812,51.04465311,50.94071424,53.02016067,55.38013046
2005-04,55.64630614,52.81654271,51.27306424,53.04836979,54.78260866,56.96748917
2005-05,56.06871481,53.2989582,52.53975295,54.53259728,55.87496385,58.36045994
2005-06,56.74151992,54.28433671,53.452011,58.12822937,59.26990624,61.37493411
2005-07,57.33340019,55.23663595,54.9462948,61.2756491,61.67163832,62.62532666
2005-08,57.6006478,55.53161514,55.61908217,61.2612013,61.3757404,62.68755934
2005-09,57.7467544,55.64567848,56.12434886,62.00715452,60.66063118,63.01328861
2005-10,57.76120578,55.57162707,56.19075388,61.60647015,59.7729904,62.66620519
2005-11,57.79720416,55.72995896,56.42313632,61.6768944,60.42056882,63.28146239
2005-12,57.92739352,55.99485281,56.55210271,62.05027741,61.22615889,64.14490202
2006-01,58.17172772,56.44160611,57.04930559,63.40355241,62.43021219,65.05515633
2006-02,58.50847082,56.99241106,57.7735467,64.53914676,63.73137118,66.01772931
2006-03,58.98825783,57.92389342,59.0947432,66.43919431,65.70632137,68.13160859
