date,seoul,mapogu,yangchungu,youngdeungpogu,seochogu,gangnamgu,songpagu
2003-11,52.489,50.588,53.803,49.743,50.469,53.718,54.574
2003-12,52.092,50.12,53.4,49.499,49.659,52.993,53.763
2004-01,51.936,50.069,53.146,49.319,49.209,52.817,53.462
2004-02,52.246,50.238,53.051,49.313,49.69,53.74,54.451
2004-03,52.519,50.388,53.219,49.547,50.042,54.093,55.125
2004-04,52.863,50.893,53.412,49.869,50.054,54.542,56.363
2004-05,52.967,50.992,53.54,50.364,50.346,54.59,56.185
2004-06,52.863,51.156,53.292,50.534,50.221,54.262,55.92
2004-07,52.71,50.969,53.157,50.684,50.113,53.862,55.645
2004-08,52.399,50.736,53.072,50.608,49.757,53.208,54.755
2004-09,52.244,50.258,52.851,50.536,49.603,52.855,54.338
2004-10,52.045,49.988,52.664,50.44,49.337,52.157,54.179
2004-11,51.808,49.721,52.577,50.297,49.123,51.62,53.616
2004-12,51.596,49.325,52.297,50.099,48.993,51.385,53.403
2005-01,51.463,49.1,52.09,50.168,48.934,51.053,53.36
2005-02,51.986,49.724,52.435,50.486,49.959,52.728,54.866
2005-03,52.237,49.882,52.755,51.045,50.941,53.02,55.38
2005-04,52.817,50.359,53.16,51.273,53.048,54.783,56.967
2005-05,53.299,50.915,53.915,52.54,54.533,55.875,58.36
2005-06,54.284,51.211,55.338,53.452,58.128,59.27,61.375
2005-07,55.237,52.155,56.363,54.946,61.276,61.672,62.625
2005-08,55.532,52.662,57.284,55.619,61.261,61.376,62.688
2005-09,55.646,52.621,57.592,56.124,62.007,60.661,63.013
2005-10,55.572,52.54,57.757,56.191,61.606,59.773,62.666
2005-11,55.73,52.471,57.732,56.423,61.677,60.421,63.281
2005-12,55.995,52.611,58.631,56.552,62.05,61.226,64.145
2006-01,56.442,52.973,59.413,57.049,63.404,62.43,65.055
2006-02,56.992,53.574,60.761,57.774,64.539,63.731,66.018
2006-03,57.924,53.946,64.177,59.095,66.439,65.706,68.132
2006-04,59.159,55.099,68.762,60.556,69.406,68.497,69.853
2006-05,60.302,56.048,71.678,61.687,71.978,70.357,71.398
2006-06,60.721,57.343,72.057,62.316,71.959,70.486,71.763
2006-07,60.91,57.916,72.629,62.655,71.967,70.331,71.753
2006-08,61.095,58.319,73.048,62.9,72.157,70.238,71.376
2006-09,61.552,58.796,74.089,63.626,72.358,70.51,71.589
2006-10,62.885,60.924,75.803,64.717,73.309,72.094,73.204
2006-11,66.593,65.714,79.858,67.422,77.612,76.553,78.711
2006-12,69.13,67.334,81.303,69.638,78.846,78.514,80.395
2007-01,70.733,68.193,81.662,71.15,79.402,79.261,81.529
2007-02,71.22,68.458,81.892,71.731,79.344,79.232,81.509
2007-03,71.494,68.763,81.735,72.208,79.28,79.175,81.679
2007-04,71.762,68.859,80.877,72.305,79.255,78.586,81.371
2007-05,71.766,68.938,80.158,72.24,79.037,78.068,80.947
2007-06,71.947,68.871,79.803,72.123,78.972,77.954,80.832
2007-07,72.258,69.027,79.802,72.31,78.936,78.139,80.782
2007-08,72.518,69.075,80.171,72.545,78.877,78.181,80.786
2007-09,72.862,69.223,80.342,72.612,78.858,78.134,80.732
2007-10,73.181,69.38,80.147,72.864,78.864,78.19,80.567
2007-11,73.677,69.459,80.076,73.203,78.729,78.375,80.132
2007-12,73.973,69.61,80.06,73.406,78.648,78.3,79.934
2008-01,74.518,70.097,80.133,73.525,78.618,78.487,79.854
2008-02,75.056,70.397,80.27,73.688,78.641,78.621,79.791
2008-03,76.395,70.88,80.587,74.042,78.652,78.88,79.703
2008-04,78.302,71.582,80.505,75.05,78.865,79.444,79.668
2008-05,79.484,72.237,80.61,75.744,78.839,79.721,79.24
2008-06,80.624,72.979,80.785,76.659,78.773,79.896,78.75
2008-07,81.237,73.654,80.98,76.933,78.468,79.618,79.161
2008-08,81.424,73.92,80.764,77.132,78.352,79.356,78.865
2008-09,81.61,74.355,80.469,77.123,78.105,79.354,78.556
2008-10,81.363,73.852,79.775,77.263,77.385,78.59,77.666
2008-11,80.636,73.363,78.357,77.294,75.833,76.748,75.676
2008-12,79.24,72.102,76.705,76.981,73.565,73.611,73.567
2009-01,78.515,71.489,75.649,76.48,72.053,72.746,71.719
2009-02,78.372,71.339,76.318,76.432,71.65,73.408,72.291
2009-03,78.167,71.263,76.537,76.176,71.622,73.466,71.987
2009-04,78.428,71.779,77.346,76.417,72.611,74.191,72.424
2009-05,78.592,72.254,78.47,76.681,72.827,74.452,72.87
2009-06,78.925,72.673,78.943,77.788,73.256,75.154,73.382
2009-07,79.596,73.212,79.746,78.257,74.659,76.349,74.659
2009-08,80.008,73.789,80.028,78.498,75.443,77.072,75.344
2009-09,80.916,74.412,81.122,79.439,76.798,78.343,76.405
2009-10,81.182,74.98,81.288,79.772,77.021,78.546,76.873
2009-11,81.189,74.991,81.324,79.916,77.313,78.341,76.771
2009-12,81.187,74.817,81.259,79.949,77.231,78.289,76.749
2010-01,81.252,74.903,81.3,80.118,77.474,78.387,76.874
2010-02,81.461,74.965,81.563,80.486,78.31,78.665,77.256
2010-03,81.448,75.067,81.585,80.353,78.407,78.712,77.373
2010-04,81.366,74.979,81.408,80.353,78.352,78.664,77.314
2010-05,80.998,74.738,81.032,80.247,78.068,78.045,76.988
2010-06,80.69,74.79,80.675,79.825,77.825,77.74,76.725
2010-07,80.3,74.073,79.877,79.183,77.678,77.529,76.423
2010-08,79.929,73.909,79.145,78.832,77.625,77.06,75.873
2010-09,79.727,73.722,79.078,78.679,77.532,76.93,75.521
2010-10,79.575,73.651,78.997,78.574,77.481,76.867,75.344
2010-11,79.479,73.651,78.968,78.515,77.463,76.741,75.286
2010-12,79.514,73.668,79.124,78.519,77.708,76.929,75.506
2011-01,79.626,73.778,79.369,78.531,78.068,77.172,75.816
