Date,Price,Car Type,Avg Price,Last 30 days,Last 90 days,YoY Change
07-21-2014,24578.05996974976,SUV,45856,-3.07,-5.6,-2.4
08-26-2014,24820.15966373259,SUV,45856,-3.07,-5.6,-2.4
10-01-2014,24499.10995002061,SUV,45856,-3.07,-5.6,-2.4
11-06-2014,24497.735712684484,SUV,45856,-3.07,-5.6,-2.4
12-12-2014,24788.1241425382,SUV,45856,-3.07,-5.6,-2.4
01-17-2015,25262.687512245393,SUV,45856,-3.07,-5.6,-2.4
02-22-2015,25930.841267921573,SUV,45856,-3.07,-5.6,-2.4
03-30-2015,26414.652876502674,SUV,45856,-3.07,-5.6,-2.4
05-05-2015,27386.05210181286,SUV,45856,-3.07,-5.6,-2.4
06-10-2015,27897.856334355092,SUV,45856,-3.07,-5.6,-2.4
07-16-2015,28350.704113391548,SUV,45856,-3.07,-5.6,-2.4
08-21-2015,28316.219190492855,SUV,45856,-3.07,-5.6,-2.4
09-26-2015,28085.527141605315,SUV,45856,-3.07,-5.6,-2.4
11-01-2015,28141.25393933523,SUV,45856,-3.07,-5.6,-2.4
12-07-2015,28886.675280437063,SUV,45856,-3.07,-5.6,-2.4
01-12-2016,29427.763756502984,SUV,45856,-3.07,-5.6,-2.4
02-17-2016,29310.491589972054,SUV,45856,-3.07,-5.6,-2.4
03-24-2016,29418.271100662296,SUV,45856,-3.07,-5.6,-2.4
04-29-2016,30289.47283196496,SUV,45856,-3.07,-5.6,-2.4
06-04-2016,31160.30348230746,SUV,45856,-3.07,-5.6,-2.4
07-10-2016,31011.558183402216,SUV,45856,-3.07,-5.6,-2.4
08-15-2016,30681.259566788096,SUV,45856,-3.07,-5.6,-2.4
09-20-2016,30210.004831941034,SUV,45856,-3.07,-5.6,-2.4
10-26-2016,30396.393076778713,SUV,45856,-3.07,-5.6,-2.4
12-01-2016,30891.45504320249,SUV,45856,-3.07,-5.6,-2.4
01-06-2017,31319.219249317062,SUV,45856,-3.07,-5.6,-2.4
02-11-2017,31604.020955421012,SUV,45856,-3.07,-5.6,-2.4
03-19-2017,31839.840484628534,SUV,45856,-3.07,-5.6,-2.4
04-24-2017,31471.414050325908,SUV,45856,-3.07,-5.6,-2.4
05-30-2017,31362.697976992247,SUV,45856,-3.07,-5.6,-2.4
07-05-2017,31085.515208615012,SUV,45856,-3.07,-5.6,-2.4
08-10-2017,31184.894352668445,SUV,45856,-3.07,-5.6,-2.4
09-15-2017,30883.162651715425,SUV,45856,-3.07,-5.6,-2.4
10-21-2017,31049.903438285848,SUV,45856,-3.07,-5.6,-2.4
11-26-2017,31437.18324694584,SUV,45856,-3.07,-5.6,-2.4
01-01-2018,31569.627558824595,SUV,45856,-3.07,-5.6,-2.4
