m2,date,price,floor,,,
156.99,20060113,1077000000,6,,,
118.12,20060116,800000000,3,,,
60.96,20060116,380000000,4,,,
79.24,20060117,557000000,9,,,
79.24,20060118,540000000,7,,,
156.99,20060118,1000000000,12,,,
79.24,20060123,575000000,9,,,
79.24,20060123,570000000,7,,,
79.24,20060123,520000000,3,,,
156.99,20060123,1150000000,9,,,
118.12,20060124,840000000,6,,,
60.96,20060202,450000000,13,,,
60.96,20060210,400000000,9,,,
79.24,20060215,570000000,10,,,
79.24,20060215,540000000,10,,,
60.96,20060301,458000000,11,,,
79.24,20060302,570000000,4,,,
79.24,20060306,579000000,2,,,
118.12,20060310,805000000,6,,,
118.12,20060310,870000000,6,,,
156.99,20060316,1153000000,4,,,
79.24,20060316,560000000,12,,,
79.24,20060317,545000000,1,,,
79.24,20060317,530000000,6,,,
79.24,20060321,588000000,3,,,
79.24,20060322,590000000,2,,,
156.99,20060322,1030000000,11,,,
60.96,20060322,490000000,8,,,
79.24,20060323,607000000,8,,,
118.12,20060324,900000000,6,,,
79.24,20060328,600000000,1,,,
156.99,20060403,1130000000,12,,,
118.12,20060404,880000000,5,,,
60.96,20060407,450000000,13,,,
156.99,20060410,1240000000,3,,,
79.24,20060411,580000000,2,,,
79.24,20060411,607000000,4,,,
156.99,20060413,1160000000,11,,,
60.96,20060417,460000000,4,,,
79.24,20060421,615000000,12,,,
118.12,20060425,900000000,11,,,
118.12,20060508,890000000,1,,,
79.24,20060515,595000000,5,,,
118.12,20060602,900000000,11,,,
79.24,20060613,590000000,4,,,
79.24,20060703,590000000,2,,,
60.96,20060816,460000000,7,,,
60.96,20060822,430000000,9,,,
79.24,20060915,570000000,2,,,
60.96,20060916,445000000,3,,,
118.12,20060919,880000000,8,,,
156.99,20060922,1200000000,12,,,
79.24,20060923,560000000,3,,,
79.24,20060925,570000000,5,,,
79.24,20060927,596000000,3,,,
156.99,20060928,1130000000,10,,,
156.99,20061002,1200000000,10,,,
79.24,20061002,560000000,7,,,
79.24,20061004,580000000,5,,,
79.24,20061009,599000000,11,,,
79.24,20061010,595000000,3,,,
79.24,20061011,590000000,11,,,
79.24,20061013,600000000,8,,,
79.24,20061016,595000000,7,,,
79.24,20061016,595000000,4,,,
79.24,20061016,590000000,11,,,
118.12,20061018,873000000,7,,,
156.99,20061018,1200000000,10,,,
60.96,20061020,480000000,11,,,
79.24,20061023,630000000,9,,,
79.24,20061024,620000000,10,,,
118.12,20061024,950000000,7,,,
60.96,20061024,500000000,11,,,
79.24,20061025,610000000,7,,,
60.96,20061026,486000000,8,,,
79.24,20061028,600000000,1,,,
79.24,20061028,639000000,5,,,
79.24,20061030,590000000,3,,,
60.96,20061031,485000000,2,,,
60.96,20061031,497000000,7,,,
118.12,20061031,990000000,6,,,
79.24,20061101,640000000,8,,,
79.24,20061104,595000000,12,,,
156.99,20061104,1240000000,1,,,
156.99,20061105,1270000000,4,,,
